"","Index","Team","Wt"
"1",6,"Alabama",0.0511138000957976
"2",242,"Georgia",0.0421761379439941
"3",491,"OhioState",0.0335634825005305
"4",135,"Clemson",0.032494066447112
"5",494,"Oklahoma",0.0316541423955656
"6",755,"Wisconsin",0.0310897806593803
"7",112,"CentralFlorida",0.028809804233778
"8",38,"Auburn",0.0265058325651279
"9",508,"PennState",0.0240293837897324
"10",484,"NotreDame",0.0180495137563738
"11",625,"TCU",0.0172119022407648
"12",389,"MiamiFL",0.0143769835649562
"13",392,"MichiganSt",0.0142397796319404
"14",496,"OklahomaSt",0.0136359676080469
"15",295,"Iowa",0.0129126828263192
"16",478,"Northwestern",0.0125047879932296
"17",296,"IowaSt",0.0123700868734431
"18",324,"LSU",0.0115646504057102
"19",583,"SouthernCal",0.0114388185442912
"20",708,"Washington",0.0111910017669279
"21",467,"NorthDakotaSt",0.010939289053496
"22",613,"Stanford",0.0105488049579019
"23",413,"MississippiSt",0.0103172387787
"24",694,"VirginiaTech",0.0100600034315258
"25",463,"NorthCarolinaSt",0.00959534760848502
