"","Term1","Weights1","Term2","Weights2","Term3","Weights3","Term4","Weights4","Term5","Weights5","Term6","Weights6","Term7","Weights7","Term8","Weights8","Term9","Weights9","Term10","Weights10","Term11","Weights11","Term12","Weights12","Term13","Weights13","Term14","Weights14","Term15","Weights15","Term16","Weights16","Term17","Weights17","Term18","Weights18","Term19","Weights19","Term20","Weights20","Term21","Weights21","Term22","Weights22","Term23","Weights23","Term24","Weights24","Term25","Weights25"
"1","ask",0.0155736453316923,"program",0.0183381789390158,"leader",0.0145087861336301,"food",0.0203808153730971,"color",0.00829901228826376,"life",0.0170437444634179,"book",0.0111256963488046,"computer",0.0158517317013884,"season",0.0193563942458491,"war",0.0266215543928753,"student",0.0398114080365216,"drug",0.0168605905119474,"police",0.0290490143994256,"official",0.0226083008768549,"car",0.0189238964226409,"percent",0.0289869630206696,"campaign",0.0200816868163113,"game",0.0205346984290904,"music",0.0167070307288525,"law",0.026267074223024,"states",0.0198597229352006,"thing",0.0170626037216654,"company",0.0459731720055831,"city",0.0254945466476216,"plant",0.0121089733237312
"2","news",0.0153565960227403,"state",0.0117022401075808,"government",0.0131428104398081,"restaurant",0.0117157302880812,"white",0.00813992483366481,"child",0.0164082215616108,"write",0.0100244588745702,"system",0.0120832869026925,"game",0.0178078971337368,"military",0.0185814443332336,"mrs",0.0387911451738695,"health",0.0149288598498466,"charge",0.0202742400765807,"member",0.013032932934762,"mile",0.0155594842875974,"price",0.0168837692123409,"political",0.0175510342954625,"win",0.0196511670189841,"play",0.0140403009528142,"court",0.0172645398935287,"country",0.0190201206814868,"lot",0.0133084288554075,"sell",0.0208433300404322,"building",0.0232220447060454,"problem",0.0103447571743655
"3","question",0.0135224405337303,"pay",0.0115747673879132,"official",0.0103089288913826,"serve",0.0114345462470458,"wall",0.00789975044652895,"woman",0.0148161949571464,"life",0.00884564287400092,"technology",0.0106895207710411,"team",0.016500129835819,"attack",0.0178365186303132,"father",0.0340854349953016,"doctor",0.0146148283009015,"man",0.0156565407918497,"report",0.0113245636032039,"hour",0.0143995262830528,"rate",0.0163532740734325,"vote",0.0175495827857418,"play",0.0190453193875911,"film",0.0113242142020516,"case",0.0157828431036162,"american",0.0189533378604385,"big",0.0126011039555499,"business",0.0202447752355772,"build",0.0138867746436476,"water",0.01000642759409
"4","newspaper",0.0112901174800879,"school",0.0115721551855783,"political",0.0101566829238888,"fresh",0.0113793994478812,"wear",0.00742063624491689,"man",0.0144992585432722,"history",0.00735132234814227,"program",0.00868994020780371,"contract",0.0157372468656312,"force",0.0152721634850523,"school",0.033420954503793,"patient",0.0144599840163447,"crime",0.0142606178256925,"office",0.0113014621587512,"travel",0.0142469416702219,"market",0.0152813699732961,"republican",0.0144792405134742,"team",0.0174673838514936,"art",0.00971800252636848,"rule",0.0146420398901252,"world",0.0152914736470346,"little",0.0114785923209935,"executive",0.018072774368149,"resident",0.0135284650072225,"cause",0.00916692440680273
"5","reporter",0.011035291198704,"money",0.0108774366866729,"country",0.00897916217011791,"taste",0.0102674175456254,"red",0.00726781840408498,"family",0.0140259915447165,"editor",0.00702825681521257,"information",0.00715796229106394,"baseball",0.0156458046140481,"kill",0.0127055867161544,"graduate",0.0325332227852022,"study",0.0135370340356455,"arrest",0.0134915696986509,"board",0.0105652494983377,"fly",0.0105231368586804,"rise",0.0143366361318651,"candidate",0.0137665137965215,"second",0.0140583158100651,"performance",0.00952304041543217,"state",0.0141585743647538,"economic",0.0151345493709986,"really",0.0098953128079555,"sale",0.0166130163459285,"area",0.0130549502834091,"damage",0.00819288304990498
"6","tell",0.0109564784961135,"percent",0.0104046917334792,"states",0.00843994781903416,"eat",0.00916297151070634,"design",0.00688410739392041,"friend",0.0130467696505391,"world",0.00639125018554745,"number",0.00661051287120803,"player",0.0151966705353943,"american",0.0117282542667682,"son",0.0269573180400121,"report",0.012901233151477,"officer",0.0122786062721042,"yesterday",0.0101401633711933,"trip",0.00995606066272928,"stock",0.0134783780742519,"election",0.0132840375797916,"player",0.0123293025073976,"audience",0.00812605110675097,"lawyer",0.0136907719141147,"economy",0.0115343254406984,"keep",0.00932053491121005,"buy",0.0156559309891639,"street",0.0120274293419357,"state",0.00720672503333301
"7","interview",0.0108184124716493,"budget",0.00899837737444683,"peace",0.00818110820131167,"dinner",0.00814064189183392,"black",0.00618631789279485,"young",0.0128075476016422,"author",0.00632087006955803,"machine",0.00654376441771801,"hit",0.0141787146991493,"soldier",0.00977925584809682,"daughter",0.0219519883846495,"medical",0.0125506196035861,"case",0.0114666775087686,"investigation",0.00957681013918445,"driver",0.00956471328516375,"bank",0.0124519256221769,"party",0.0123500540984868,"victory",0.0121786553192621,"director",0.00805682169461419,"legal",0.012659247248948,"trade",0.0098203214925007,"put",0.00873677203948624,"president",0.0135715430541744,"house",0.011640844562751,"environmental",0.00715772604670073
"8","write",0.00998279272042096,"child",0.00889257069376294,"policy",0.00731441862860816,"cook",0.00784942832893583,"room",0.00598914330012398,"live",0.0120156470545252,"writer",0.00605164394964127,"design",0.00651356139184418,"manager",0.0140944355906341,"troop",0.00949335486409356,"president",0.019449663162784,"treatment",0.0111272745786822,"trial",0.01127270773784,"comment",0.00833665330450365,"train",0.00946578585167311,"fall",0.0107268996431673,"democratic",0.0107781162913895,"season",0.0111446320566586,"movie",0.00758899934222708,"judge",0.0116776646222405,"nation",0.00955188186547869,"feel",0.00854845564112574,"industry",0.0123737398634743,"community",0.0102303280005785,"gas",0.00661720210764757
"9","meeting",0.00959934606738078,"cost",0.0087476645120049,"meeting",0.00717791950148589,"add",0.00720590376780039,"paint",0.00595625598372024,"tell",0.0117478096618061,"great",0.00595938532048941,"create",0.00648007513958236,"pitch",0.0112539998101048,"states",0.00897547582556813,"college",0.0176654771866795,"disease",0.0101799066953475,"prison",0.0104323421520711,"agency",0.0083068943034779,"flight",0.00918123085149085,"report",0.00941036238291539,"leader",0.0103717852322866,"score",0.010949499546606,"artist",0.00753174038634168,"require",0.010953286404919,"labor",0.00916341469590981,"hard",0.00814740728597935,"market",0.0116859326502499,"neighborhood",0.00968124244736132,"oil",0.00649973236095147
"10","television",0.00874547941969765,"education",0.0087074758417403,"american",0.0070660002669084,"pound",0.0071247392193347,"blue",0.00584818707668507,"home",0.00986939763263601,"view",0.00542222212471143,"different",0.00647493882479585,"sign",0.0111140284729295,"fight",0.0082254391257869,"receive",0.0176523041248263,"cause",0.00912854356229744,"victim",0.0100965257371412,"chief",0.00785866362296989,"truck",0.00856621505522299,"decline",0.00899357439286508,"state",0.0100137109032171,"point",0.0107425484792586,"stage",0.00737679514060675,"issue",0.00967828797651125,"european",0.00885683852959696,"start",0.00792316885112912,"customer",0.00942846315669155,"project",0.00962690044912184,"safety",0.00584750045946357
